UnitID,BloodGroupID,Quantity,ExpiryDate,LocationID,DonationID,Status
1,3,367,2023-04-20,1,1,Expired
2,3,357,2024-11-19,1,2,Available
3,1,419,2023-06-29,2,3,Available
4,6,424,2024-08-30,3,4,Expired
5,3,440,2023-03-12,1,5,Expired
6,7,446,2024-01-30,3,6,Reserved
7,4,341,2023-04-10,1,7,Expired
8,7,355,2024-11-04,4,8,Expired
9,8,365,2025-09-16,9,9,Available
10,4,472,2024-08-24,5,10,Expired
11,4,342,2025-11-25,7,11,Reserved
12,7,389,2024-06-20,7,12,Expired
13,1,326,2023-02-12,6,13,Reserved
14,6,488,2025-01-15,1,14,Reserved
15,4,359,2024-06-09,8,15,Available
16,1,312,2024-01-27,10,16,Reserved
17,8,343,2024-10-20,4,17,Available
18,4,347,2024-07-23,2,18,Reserved
19,5,400,2023-02-28,7,19,Expired
20,3,461,2023-11-20,6,20,Expired
21,2,331,2023-04-19,4,21,Available
22,8,309,2024-01-20,10,22,Reserved
23,7,409,2024-02-05,10,23,Expired
24,7,403,2023-05-24,9,24,Available
25,8,397,2023-12-11,6,25,Reserved
26,2,315,2023-07-15,9,26,Available
27,8,455,2024-06-18,3,27,Reserved
28,7,358,2025-02-23,9,28,Available
29,3,445,2024-05-06,6,29,Available
30,1,500,2024-12-28,10,30,Available
31,8,370,2024-08-07,8,31,Available
32,3,322,2024-06-23,10,32,Reserved
33,7,435,2025-07-29,2,33,Reserved
34,4,417,2025-10-26,7,34,Expired
35,2,378,2025-09-11,3,35,Reserved
36,1,487,2025-05-17,6,36,Expired
37,4,331,2024-05-20,5,37,Expired
38,8,423,2024-07-27,3,38,Reserved
39,1,490,2024-02-19,3,39,Expired
40,4,478,2024-10-20,4,40,Available
41,2,360,2025-04-25,9,41,Expired
42,5,473,2025-08-08,5,42,Expired
43,8,447,2024-10-31,10,43,Reserved
44,3,337,2025-11-22,7,44,Available
45,3,330,2025-07-11,7,45,Reserved
46,2,349,2023-04-05,10,46,Reserved
47,7,341,2023-04-07,10,47,Expired
48,6,461,2024-01-11,7,48,Available
49,4,353,2024-12-24,9,49,Expired
50,1,436,2023-08-22,1,50,Expired
51,2,427,2023-09-21,10,51,Reserved
52,5,462,2025-05-22,1,52,Reserved
53,7,378,2025-07-13,10,53,Available
54,5,472,2025-04-14,6,54,Reserved
55,5,368,2024-08-23,2,55,Reserved
56,5,462,2023-12-31,9,56,Available
57,8,326,2023-05-25,3,57,Expired
58,6,466,2025-01-29,5,58,Reserved
59,3,352,2024-12-17,5,59,Reserved
60,4,404,2025-12-24,8,60,Available
61,1,487,2025-02-10,1,61,Expired
62,4,396,2024-08-13,10,62,Expired
63,6,474,2025-06-23,7,63,Expired
64,4,397,2023-04-27,6,64,Expired
65,5,331,2024-05-31,4,65,Expired
66,4,387,2024-09-17,10,66,Expired
67,6,350,2024-09-09,10,67,Reserved
68,8,362,2024-12-03,9,68,Reserved
69,7,319,2024-07-29,5,69,Expired
70,1,481,2023-04-01,5,70,Reserved
71,7,365,2025-04-23,5,71,Available
72,5,352,2025-01-25,1,72,Reserved
73,6,467,2025-11-05,10,73,Available
74,2,488,2023-06-09,6,74,Reserved
75,4,414,2025-08-03,5,75,Expired
76,8,482,2024-08-22,1,76,Reserved
77,5,322,2023-12-10,4,77,Expired
78,3,365,2023-01-28,10,78,Available
79,4,414,2024-12-11,7,79,Available
80,3,345,2023-07-02,1,80,Available
81,4,406,2025-01-13,3,81,Reserved
82,7,455,2024-06-26,8,82,Expired
83,2,465,2025-12-11,4,83,Expired
84,7,346,2025-10-13,4,84,Available
85,7,308,2025-11-17,9,85,Expired
86,8,477,2023-07-07,5,86,Available
87,7,341,2025-10-23,4,87,Expired
88,8,396,2024-02-02,5,88,Available
89,2,446,2023-05-15,1,89,Reserved
90,6,391,2023-03-24,2,90,Available
91,3,345,2023-09-10,5,91,Available
92,5,494,2024-06-03,9,92,Reserved
93,4,411,2024-05-25,4,93,Available
94,5,334,2024-09-03,8,94,Expired
95,1,321,2025-03-18,1,95,Reserved
96,5,441,2023-09-18,8,96,Reserved
97,2,354,2025-08-24,7,97,Expired
98,3,469,2024-07-17,5,98,Available
99,7,464,2023-12-07,2,99,Expired
100,6,433,2025-07-01,9,100,Available
101,7,464,2025-09-08,9,101,Available
102,3,436,2024-07-12,5,102,Reserved
103,2,348,2024-03-12,9,103,Reserved
104,5,476,2023-04-04,10,104,Available
105,1,442,2025-04-05,7,105,Reserved
106,3,452,2024-04-20,9,106,Available
107,3,334,2023-02-08,3,107,Expired
108,8,467,2025-11-06,8,108,Reserved
109,5,399,2024-05-01,5,109,Reserved
110,8,410,2023-03-16,2,110,Expired
111,7,475,2025-08-25,7,111,Available
112,6,398,2025-04-10,10,112,Reserved
113,5,428,2025-10-08,6,113,Available
114,4,491,2023-09-04,6,114,Expired
115,3,359,2024-07-26,6,115,Expired
116,7,385,2025-03-18,6,116,Available
117,2,333,2023-01-24,7,117,Reserved
118,7,362,2025-05-20,9,118,Reserved
119,7,308,2023-12-09,4,119,Available
120,1,479,2025-01-16,2,120,Available
121,6,344,2024-12-13,4,121,Expired
122,8,393,2023-10-13,6,122,Expired
123,4,393,2025-10-07,5,123,Reserved
124,4,322,2025-04-22,5,124,Available
125,8,395,2025-07-27,7,125,Available
126,6,466,2024-03-22,10,126,Reserved
127,6,481,2025-01-01,2,127,Expired
128,8,408,2023-07-25,2,128,Expired
129,6,347,2025-05-02,10,129,Expired
130,5,483,2025-01-02,2,130,Available
131,3,436,2023-07-04,6,131,Available
132,2,500,2023-02-18,10,132,Available
133,5,330,2024-09-07,5,133,Reserved
134,1,421,2025-04-16,8,134,Reserved
135,2,444,2023-05-11,9,135,Available
136,3,493,2025-04-06,2,136,Available
137,3,328,2023-05-25,7,137,Expired
138,3,366,2024-12-18,5,138,Expired
139,2,389,2023-09-27,7,139,Reserved
140,2,497,2023-10-05,1,140,Expired
141,3,328,2024-07-08,4,141,Reserved
142,8,460,2025-03-13,6,142,Available
143,2,389,2023-12-07,6,143,Available
144,5,387,2025-07-06,1,144,Expired
145,3,440,2025-01-22,2,145,Expired
146,7,429,2023-03-29,9,146,Reserved
147,8,361,2023-12-21,6,147,Expired
148,5,317,2025-11-14,7,148,Available
149,7,393,2024-01-30,10,149,Reserved
150,4,495,2023-11-06,4,150,Available
151,5,468,2023-12-19,4,151,Expired
152,7,354,2024-06-19,2,152,Reserved
153,5,310,2023-01-07,1,153,Expired
154,1,457,2025-10-22,7,154,Expired
155,1,339,2023-07-10,10,155,Reserved
156,1,447,2023-05-26,6,156,Available
157,3,379,2025-01-12,2,157,Reserved
158,8,360,2023-05-29,1,158,Available
159,2,413,2023-09-16,6,159,Available
160,7,482,2024-07-03,2,160,Reserved
161,4,446,2023-12-03,6,161,Available
162,2,381,2024-04-06,7,162,Available
163,8,336,2023-09-23,9,163,Available
164,7,422,2024-08-28,3,164,Expired
165,1,340,2025-06-12,1,165,Available
166,8,391,2025-06-23,4,166,Reserved
167,4,460,2024-06-29,9,167,Available
168,4,494,2025-05-16,5,168,Available
169,6,488,2025-04-24,8,169,Expired
170,2,457,2024-07-30,1,170,Reserved
171,5,461,2025-08-18,5,171,Reserved
172,5,348,2025-06-02,3,172,Expired
173,5,301,2025-01-01,2,173,Reserved
174,4,313,2024-03-25,10,174,Expired
175,4,435,2023-09-27,4,175,Expired
176,7,335,2024-04-01,7,176,Available
177,1,465,2024-05-18,9,177,Reserved
178,2,492,2025-04-03,1,178,Reserved
179,5,467,2024-02-23,3,179,Available
180,2,423,2024-06-10,4,180,Reserved
