DonationID,DonorID,DonationDate,Quantity,StaffID
1,D15076,2020-01-02,418,S368
2,D19905,2022-04-15,303,S306
3,D15896,2024-02-09,353,S459
4,D556,2024-04-19,408,S138
5,D14514,2024-05-25,402,S361
6,D18746,2023-07-29,409,S467
7,D7606,2020-03-10,308,S195
8,D10818,2023-02-27,449,S376
9,D3707,2023-06-03,389,S97
10,D8488,2021-07-11,492,S307
11,D19309,2023-06-22,461,S480
12,D17967,2023-12-12,347,S136
13,D2946,2024-07-13,379,S94
14,D5003,2023-06-24,483,S133
15,D6388,2022-08-07,461,S383
16,D4165,2022-03-11,466,S159
17,D19865,2022-05-11,483,S481
18,D12524,2021-11-22,388,S98
19,D2662,2023-01-10,429,S346
20,D10698,2021-09-20,300,S195
21,D2517,2022-10-27,352,S167
22,D13862,2022-06-02,312,S38
23,D7866,2021-03-02,371,S481
24,D119,2020-04-10,311,S226
25,D2892,2021-03-11,381,S179
26,D19181,2022-12-15,440,S489
27,D3128,2024-03-29,401,S180
28,D15174,2024-06-25,406,S22
29,D14890,2023-08-31,472,S469
30,D13138,2020-06-17,333,S363
31,D5151,2023-01-09,347,S491
32,D8545,2021-04-08,400,S451
33,D14446,2023-06-30,477,S345
34,D11992,2020-08-04,305,S11
35,D6908,2020-10-07,435,S280
36,D4708,2020-04-28,483,S491
37,D11629,2024-11-02,387,S481
38,D18913,2020-08-05,300,S101
39,D8956,2021-06-09,382,S16
40,D5632,2023-05-16,360,S155
41,D9123,2021-01-11,379,S300
42,D9834,2022-07-27,385,S366
43,D3817,2021-12-07,479,S415
44,D14115,2023-10-15,412,S102
45,D4807,2023-03-19,472,S487
46,D13350,2023-02-28,487,S206
47,D11767,2021-06-20,459,S443
48,D1403,2022-09-25,306,S181
49,D15290,2024-09-25,379,S170
50,D5870,2021-06-15,374,S17
51,D130,2020-03-24,304,S472
52,D9227,2020-12-10,497,S57
53,D3829,2021-09-10,322,S62
54,D17934,2021-11-29,381,S447
55,D5945,2024-12-14,393,S492
56,D785,2020-04-30,423,S497
57,D1874,2020-11-13,447,S70
58,D552,2020-09-26,332,S333
59,D3353,2022-03-09,385,S54
60,D10768,2021-12-28,375,S395
61,D3515,2022-12-23,467,S430
62,D593,2024-04-14,478,S367
63,D15185,2022-12-13,420,S207
64,D2251,2024-05-10,454,S201
65,D4562,2020-06-17,407,S245
66,D12626,2020-02-25,471,S429
67,D667,2020-02-16,498,S306
68,D2728,2022-11-01,410,S304
69,D17611,2020-04-05,442,S304
70,D7819,2020-12-09,363,S142
71,D4779,2021-03-10,372,S82
72,D19176,2024-07-13,466,S160
73,D12599,2024-11-11,445,S326
74,D2546,2020-11-01,431,S13
75,D15000,2024-06-16,415,S146
76,D16450,2022-01-30,402,S173
77,D14938,2021-11-19,357,S403
78,D2871,2023-05-05,378,S138
79,D18396,2021-03-20,323,S1
80,D2082,2024-03-29,399,S357
81,D9894,2020-03-16,307,S14
82,D12362,2023-09-18,352,S396
83,D12841,2020-06-13,304,S380
84,D6679,2022-09-27,348,S172
85,D11861,2024-05-03,495,S436
86,D16432,2022-02-25,456,S294
87,D5182,2024-09-16,400,S167
88,D15958,2022-09-18,364,S344
89,D4266,2022-06-22,406,S292
90,D79,2021-07-05,402,S245
91,D16142,2024-06-14,389,S386
92,D14167,2022-11-07,463,S327
93,D17604,2021-05-01,414,S21
94,D19168,2021-04-09,461,S235
95,D6499,2023-05-30,417,S5
96,D12704,2021-09-15,377,S178
97,D3129,2024-08-15,434,S462
98,D17541,2023-08-19,316,S258
99,D1046,2022-08-31,408,S428
100,D16978,2021-05-04,489,S371
101,D11038,2022-06-20,357,S409
102,D2838,2024-01-28,302,S349
103,D7686,2020-01-11,376,S260
104,D19049,2023-08-06,342,S205
105,D1674,2022-01-22,395,S371
106,D10559,2020-07-18,419,S319
107,D2148,2024-06-06,425,S268
108,D17461,2024-07-31,377,S327
109,D17763,2024-12-28,356,S85
110,D3304,2020-08-31,500,S222
111,D95,2020-05-16,474,S329
112,D4253,2020-12-12,444,S280
113,D13616,2024-01-07,410,S9
114,D11155,2020-06-05,484,S280
115,D13233,2021-12-04,396,S421
116,D2304,2020-10-14,395,S267
117,D10730,2024-07-09,412,S281
118,D9087,2021-02-21,451,S112
119,D2971,2023-12-16,499,S481
120,D3567,2021-03-21,419,S307
121,D9052,2021-03-01,344,S47
122,D13577,2024-10-12,417,S356
123,D7032,2024-09-24,329,S14
124,D2630,2024-08-17,454,S397
125,D17976,2024-04-26,322,S393
126,D11596,2023-10-25,406,S68
127,D17069,2023-01-31,426,S9
128,D9237,2021-02-02,448,S285
129,D19587,2020-01-19,401,S188
130,D19643,2024-09-01,421,S315
131,D8260,2021-03-03,449,S269
132,D9884,2021-12-19,339,S107
133,D4200,2020-07-09,432,S403
134,D13543,2020-03-12,433,S196
135,D9428,2021-10-30,466,S487
136,D2863,2024-01-08,333,S440
137,D5692,2024-06-14,334,S140
138,D3859,2023-05-06,327,S311
139,D9545,2022-09-24,383,S113
140,D10750,2021-10-30,355,S454
141,D13166,2021-03-29,460,S379
142,D17250,2020-07-08,486,S229
143,D15088,2021-01-16,423,S341
144,D19656,2022-03-30,499,S224
145,D5374,2020-01-08,328,S390
146,D4071,2020-10-26,498,S189
147,D7297,2020-01-29,337,S3
148,D5724,2021-08-31,374,S437
149,D5772,2024-08-13,382,S79
150,D8139,2023-01-14,345,S372
151,D4248,2022-11-03,449,S421
152,D12329,2023-02-26,400,S39
153,D4418,2020-02-08,421,S457
154,D8872,2023-12-02,411,S450
155,D2124,2020-03-31,426,S319
156,D17929,2023-01-11,325,S318
157,D5455,2020-07-01,446,S238
158,D13096,2022-02-18,387,S89
159,D1328,2022-04-17,329,S256
160,D3575,2024-10-19,425,S336
161,D937,2020-06-26,472,S292
162,D18479,2021-06-13,354,S482
163,D11618,2021-06-01,334,S39
164,D16511,2021-05-12,462,S403
165,D6169,2023-06-09,451,S255
166,D12020,2021-07-21,476,S356
167,D1157,2023-08-08,369,S440
168,D12665,2023-05-05,365,S359
169,D17105,2020-03-01,499,S192
170,D9023,2023-07-26,410,S204
171,D7629,2022-10-08,379,S75
172,D14551,2020-12-22,426,S447
173,D15513,2024-09-25,408,S244
174,D7152,2021-08-12,331,S308
175,D14399,2021-12-05,390,S299
176,D2991,2023-01-29,432,S15
177,D6643,2021-04-01,461,S346
178,D4745,2023-11-07,349,S97
179,D12121,2022-01-14,448,S252
180,D14020,2021-01-11,375,S131
181,D18266,2024-05-07,447,S492
182,D654,2022-11-12,404,S92
183,D17214,2022-01-28,437,S185
184,D1568,2023-03-04,375,S285
185,D6602,2022-12-29,489,S451
186,D3351,2021-10-12,406,S4
187,D11127,2020-05-16,430,S236
188,D4555,2023-09-21,480,S258
189,D2252,2024-11-16,307,S217
190,D11307,2023-01-28,358,S310
191,D12247,2020-02-14,311,S303
192,D8667,2023-03-20,452,S369
193,D16649,2021-03-02,483,S58
194,D11327,2020-07-15,370,S218
195,D4307,2020-05-15,364,S427
196,D5453,2021-10-03,457,S481
197,D3870,2022-02-07,490,S456
198,D17477,2022-03-02,365,S263
199,D6828,2022-07-07,462,S240
200,D1568,2020-04-20,367,S467
201,D1054,2022-05-30,498,S87
202,D5341,2021-11-19,406,S282
203,D2785,2022-10-07,369,S133
204,D8540,2020-10-08,437,S499
205,D5094,2024-06-06,352,S113
206,D13288,2021-06-18,408,S6
207,D18572,2024-04-18,302,S497
208,D15241,2024-01-29,346,S85
209,D12371,2021-04-30,420,S369
210,D14303,2020-01-04,490,S419
211,D14931,2022-12-10,484,S44
212,D8472,2022-10-24,406,S472
213,D15006,2024-06-05,401,S365
214,D14524,2022-12-06,450,S16
215,D16531,2022-07-23,486,S459
216,D15472,2022-11-30,379,S227
217,D2024,2024-04-12,415,S128
218,D16514,2021-03-24,462,S326
219,D16534,2022-09-20,464,S376
220,D9763,2023-05-28,435,S376
221,D8648,2020-04-07,370,S1
222,D15656,2020-09-18,374,S82
223,D5868,2022-01-29,301,S78
224,D2468,2020-07-25,416,S484
225,D10849,2024-10-08,428,S405
226,D16803,2022-05-23,412,S117
227,D10903,2021-05-30,399,S75
228,D6636,2021-09-23,469,S349
229,D14274,2023-09-02,475,S349
230,D3917,2024-10-05,473,S276
231,D9705,2023-06-19,424,S261
232,D10902,2020-10-13,322,S264
233,D7312,2021-07-18,483,S80
234,D775,2020-06-23,307,S386
235,D813,2020-07-22,413,S34
236,D16403,2020-11-19,438,S99
237,D8634,2024-08-27,479,S443
238,D13174,2023-06-08,385,S127
239,D9869,2023-08-18,432,S137
240,D13910,2024-04-08,451,S68
241,D15601,2021-09-01,352,S79
242,D17208,2023-05-29,430,S334
243,D5533,2020-12-09,344,S478
244,D3599,2022-12-30,453,S455
245,D4319,2020-01-01,340,S321
246,D15360,2024-11-12,369,S493
247,D11887,2023-02-01,452,S56
248,D14291,2020-07-10,420,S114
249,D6660,2021-06-20,300,S292
250,D12320,2021-09-08,490,S173
251,D7315,2020-11-18,461,S392
252,D12333,2024-05-18,332,S136
253,D6694,2022-12-24,345,S135
254,D5039,2020-09-16,472,S270
255,D8295,2020-05-18,433,S53
256,D16976,2020-05-06,453,S379
257,D2100,2023-03-18,314,S291
258,D12246,2024-04-07,481,S427
259,D8527,2024-04-29,427,S260
260,D18686,2021-12-02,349,S102
261,D3900,2023-10-28,453,S142
262,D19100,2022-05-25,410,S218
263,D8430,2023-06-28,466,S66
264,D14894,2020-07-11,369,S208
265,D8615,2023-11-01,347,S457
266,D13368,2022-04-09,375,S176
267,D11177,2024-06-20,415,S256
268,D17443,2022-08-09,447,S346
269,D12355,2023-03-12,484,S197
270,D18628,2020-12-09,360,S314
271,D19998,2021-07-15,499,S36
272,D14024,2023-12-21,381,S152
273,D18597,2024-01-22,359,S313
274,D19034,2023-01-22,495,S182
275,D18308,2022-10-02,369,S342
276,D7307,2022-04-14,312,S85
277,D3679,2020-04-12,328,S116
278,D1320,2021-10-13,495,S421
279,D5460,2021-08-30,381,S432
280,D7061,2024-09-27,476,S380
281,D8019,2021-05-10,372,S136
282,D2841,2020-04-03,392,S230
283,D13400,2020-06-27,466,S456
284,D7863,2024-02-06,493,S7
285,D18109,2024-08-22,351,S385
286,D4465,2024-01-14,400,S500
287,D5032,2021-12-24,410,S260
288,D14024,2024-12-19,355,S168
289,D8874,2024-02-18,330,S321
290,D7472,2020-08-19,302,S188
291,D1723,2021-03-27,317,S347
292,D18299,2024-12-03,497,S151
293,D13500,2023-08-08,429,S192
294,D12924,2021-08-28,418,S351
295,D4831,2020-03-07,311,S432
